image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.894408,car,car,True
drive_022,2,2,0.913325,van,van,True
drive_022,3,4,0.771436,car,car,True
drive_022,4,3,0.829486,car,car,True
drive_022,5,5,0.907664,truck,bus,False
drive_033,3,2,0.919651,truck,bus,False
drive_033,4,1,0.982381,bus,van,False
drive_033,5,11,0.902381,car,car,True
drive_033,6,12,0.971485,bus,van,False
drive_033,7,8,0.809373,car,car,True
drive_033,8,10,0.910278,car,car,True
drive_033,9,7,0.879492,car,car,True
drive_033,10,3,0.848046,car,car,True
drive_033,11,4,0.767295,car,car,True
drive_033,12,5,0.73326,car,car,True
drive_033,13,6,0.813942,car,car,True
drive_033,14,9,0.865128,car,car,True
drive_038,10,2,0.931344,car,car,True
drive_038,13,1,0.972246,car,car,True
drive_038,14,4,0.95067,car,car,True
drive_038,15,3,0.933724,car,car,True
drive_038,16,5,0.965108,truck,bus,False
drive_038,17,9,0.896345,truck,bus,False
drive_038,18,8,0.896764,car,car,True
drive_038,19,10,0.896683,car,car,True
drive_038,20,14,0.876749,car,car,True
drive_038,21,15,0.908509,van,truck,False
drive_038,22,16,0.855142,car,car,True
drive_038,23,17,0.917631,car,car,True
drive_038,24,7,0.914882,car,car,True
drive_038,25,11,0.884455,car,car,True
drive_038,26,6,0.875215,car,car,True
drive_038,27,12,0.759482,car,car,True
drive_038,28,13,0.87041,car,car,True
drive_008,1,9,0.969424,bus,van,False
drive_008,2,11,0.914138,car,car,True
drive_008,3,6,0.90286,car,car,True
drive_008,4,4,0.962485,car,car,True
drive_008,5,12,0.902533,van,truck,False
drive_008,6,16,0.932152,van,car,False
drive_008,7,3,0.924283,van,truck,False
drive_008,8,2,0.898437,car,car,True
drive_008,9,1,0.824476,truck,bus,False
drive_008,11,7,0.77502,car,car,True
drive_008,12,13,0.713493,car,car,True
drive_008,13,14,0.864641,car,car,True
drive_008,14,15,0.432467,car,car,True
drive_008,25,5,0.795522,van,truck,False
